LEASE TYPE,REGION,TRANSACTION STATUS,OPERATING SEGMENT,LEASE CITY,ST,STREET ADDRESS,PROPERTY TYPE,SF,LEASE EXP,ANNUAL GROSS RENT ($US),CRESA NOTES,LAT,LNG
Direct Lease,Southeast,Active,BES,Lakewood Ranch,FL,10405 Technology Terrace,Flex,6215,46691,146556,Kick off 9/1/26 · Jason Walden & Craig Dudas,27.42,-82.42
Direct Lease,Southeast,Active,Forensics,Atlanta,GA,2030 Powers Ferry,Flex,10270,46568,146553,Likely renew · Justin Grammer,33.88,-84.47
Direct Lease,Southeast,Active,Forensics,Nashville,TN,2630 Elm Hill Pike,Office,5044,46630,112715,Kick off 9/1/26 · Justin Grammer,36.15,-86.72
Direct Lease,Southeast,Inactive,Forensics,Charlotte,NC,5900 Harris Tech Blvd,Flex,6800,47057,108865,Matt Cass handling,35.3,-80.74
Direct Lease,Southeast,Inactive,Forensics,Mooresville,NC,160 Bevan,Flex,7827,46507,101630,Matt Cass handling,35.58,-80.81
Direct Lease,Southeast,Inactive,Forensics,Miami,FL,8200 NW 41st (Doral),Office,2669,46812,92244,,25.81,-80.32
Direct Lease,Southeast,Active,Forensics,Orlando,FL,277 Douglas (Altamonte Springs),Flex,3479,46446,79389,Looking for 5K SF · Justin Grammer & John Wallace,28.66,-81.39
Direct Lease,Southeast,Inactive,Corporate,Melbourne,FL,1900 S. Harbor,Office,1336,46265,32209,No action — office will close upon lease expiration,28.08,-80.6
Direct Lease,Southeast,Inactive,Forensics,Memphis,TN,8420 Wolf Lake Dr (Bartlett),Flex,2320,47422,29116,,35.2,-89.87
Direct Lease,Southeast,Inactive,Forensics,Jacksonville,FL,8659 Baypine Rd,Office,1089,47208,23384,,30.22,-81.55
Direct Lease,South Central,Inactive,Corp/Forensics,Houston HQ,TX,12140 Wickchester,Office,50380,49918,1150175,Fully executed sublease of both floors to Michels Corp — 73% recovery over full term,29.78,-95.62
Direct Lease,South Central,Inactive,Forensics,San Antonio,TX,10103 Broadway St,Flex,2016,47726,40723,,29.53,-98.47
Direct Lease,South Central,Inactive,Forensics,New Orleans,LA,68446 James St (Mandeville),Flex,11009,48091,109424,,30.36,-90.07
Direct Lease,South Central,Active,BES/Forensics,Austin,TX,8200 Cameron,Flex,5710,46538,119496,50 AEC / 50 Forensics — evaluating renew vs relo · Jason Walden & Jerry Benoit,30.32,-97.7
Direct Lease,South Central,Inactive,Forensics,Dallas,TX,1801 Royal Lane,Flex,7111,46996,107360,,32.9,-96.89
Direct Lease,South Central,Inactive,Forensics,Houston,TX,5407 Glenmont Dr,Warehouse,4000,48029,51840,,29.72,-95.48
Direct Lease,South Central,Active,Forensics,Little Rock,AR,11217 N Richardson Dr,Flex,4016,46387,56744,Likely renew · Jerry Benoit & Tom Kosanda,34.8,-92.4
Direct Lease,South Central,Inactive,Forensics,Jackson,MS,119 Marketridge Dr (Ridgeland),Flex,5289,47149,54499,,32.42,-90.13
Direct Lease,South Central,Inactive,Forensics,Birmingham,AL,106 Oxmoor Rd,Flex,3185,47087,43737,,33.44,-86.79
Direct Lease,South Central,Inactive,Forensics,Oklahoma City,OK,616 Enterprise,Flex,2700,46904,28800,,35.44,-97.42
Direct Lease,Northeast,Active,BES,Boston,MA,313 Congress,Office,12118,46568,748165,Finalized terms for 10-year extension — new AGR $728K,42.35,-71.05
Sublease,Northeast,Active,BES,New York,NY,229 W 28th St,Office,12786,46629,703614,Negotiating lease for 9K SF relo space — new AGR $480K over 10-year term,40.75,-73.99
Direct Lease,Northeast,Active,Life Sciences,Philadelphia,PA,1 Belmont (Bala Cynwyd),Office,5681,46752,213038,Finalized 1-year extension as-is — explore building HVAC issues or relocate at term end,40.01,-75.23
Direct Lease,Northeast,Active,Forensics,Willowbrook,IL,7501 S Quincy,Flex,6971,46326,114394,Finalized 5-year renewal as-is — new AGR $113K,41.75,-87.94
Direct Lease,Northeast,Inactive,Forensics,Baltimore,MD,8310 Guilford Rd (Columbia),Flex,4286,47756,82505,,39.2,-76.84
Direct Lease,Northeast,Inactive,Forensics,Philadelphia,PA,930 Harvest Drive (Blue Bell),Office,2443,46265,59243,Office will close upon lease expiration,40.15,-75.27
Direct Lease,Northeast,Inactive,Forensics,Indianapolis,IN,5804 W 74th St,Flex,4372,47118,51284,,39.9,-86.28
Direct Lease,Northeast,Active,Forensics,Columbus,OH,921-929 Eastwind (Westerville),Flex,3776,46418,46825,Negotiating 5-year renewal — new AGR $58K,40.13,-82.92
Direct Lease,Northeast,Inactive,BES,Boston,MA,6 Chestnutt (Amesbury),Office,600,47149,8280,,42.86,-70.93
Direct Lease,International,Active,EMEA,London,UK,40 Lime St,Office,3178,46298,328022,Extending lease for 4.5 years,51.51,-0.08
Direct Lease,International,Inactive,APAC,Singapore,SG,—,Office,1658,47057,159367,,1.28,103.85
Direct Lease,International,Inactive,APAC,Sydney,AU,36 Carrington St,Office,2794,48060,278268,,-33.87,151.21
Direct Lease,International,Inactive,APAC,Melbourne,AU,565 Bourke St,Office,3444,47168,130746,,-37.82,144.96
Exec Suite,International,Inactive,EMEA,Chorley,UK,8 East Terrace,Exec Suite,2320,MTM,92878,,53.65,-2.63
Direct Lease,International,Inactive,APAC,Perth,AU,167 St Georges Terrace,Office,2995,46843,83162,,-31.95,115.86
Direct Lease,International,Active,APAC,Auckland,NZ,1 Broadway,Office,1226,46691,33945,Marketing for sublease,-36.85,174.76
Direct Lease,International,Inactive,EMEA,Horsham,UK,"Afon House, Worthing Rd",Office,1700,47566,48777,,51.06,-0.33
Direct Lease,Canada,Inactive,BES,Mississauga,ON,2121 Argentia Rd,Office,17143,47483,415569,,43.6,-79.75
Direct Lease,Canada,Inactive,BES,Markham,ON,25 Centurian Dr,Office,6880,47817,140696,,43.86,-79.34
Direct Lease,Canada,Inactive,BES,Richmond,BC,6900 Graybar,Office,5410,47149,103535,,49.17,-123.13
Direct Lease,Canada,Inactive,BES,Ottawa,ON,38 Antares Dr,Office,4245,47938,76244,,45.32,-75.71
Direct Lease,Canada,Inactive,BES,London,ON,4026 Meadowbrook Dr,Office,3600,47149,44532,,42.96,-81.28
Direct Lease,Canada,Active,BES,Calgary,AB,6227 2nd St SE,Office,2619,46446,46142,Likely renew · Walter Gaudet & Ryan Doull,50.99,-114.05
Direct Lease,Canada,Active,BES,Montreal,QC,978 Montee de Liesse,Office,2146,46356,33708,Requesting terms for 500 SF expansion · Walter Gaudet & Mike Bahjat,45.49,-73.72
Direct Lease,Canada,Inactive,BES,Regina,SK,1055 Park St,Office,1456,47514,27987,,50.45,-104.57
Direct Lease,Canada,Inactive,BES,Cambridge,ON,260 Holiday Inn Dr,Office,893,46265,23542,Office will close upon lease expiration — moving to executive suite,43.42,-80.32
Direct Lease,Canada,Active,BES,Victoria,BC,4500 W Saanich Rd,Office,788,46265,15635,Mike Farley & Ana Gutierrez handling renewal directly,48.49,-123.42
